ID,kID,kName,kResult,Not Transit-Like Flag,Stellar Eclipse Flag,Centroid Offset Flag,Ephemeris Match Indicates Contamination Flag,  Orbital Period (days),Transit Epoch ,Transit Duration (hours) ,Right Ascension, KIC Declination,Kepler-band
1,10797460,K00752.01,CONFIRMED,0,0,0,0,9.488035570,170.5387500,2.95750,291.934230,48.141651,15347
2,10797460,K00752.02,CONFIRMED,0,0,0,0,54.418382700,162.5138400,4.50700,291.934230,48.141651,15347
3,10811496,K00753.01,FALSE POSITIVE,0,1,0,0,19.899139950,175.8502520,1.78220,297.004820,48.134129,15436
4,10848459,K00754.01,FALSE POSITIVE,0,1,0,0,1.736952453,170.3075650,2.40641,285.534610,48.285210,15597
5,10854555,K00755.01,CONFIRMED,0,0,0,0,2.525591777,171.5955500,1.65450,288.754880,48.226200,15509
6,10872983,K00756.01,CONFIRMED,0,0,0,0,11.094320540,171.2011600,4.59450,296.286130,48.224670,15714
7,10872983,K00756.02,CONFIRMED,0,0,0,0,4.134435120,172.9793700,3.14020,296.286130,48.224670,15714
8,10872983,K00756.03,CONFIRMED,0,0,0,0,2.566588970,179.5543700,2.42900,296.286130,48.224670,15714
9,6721123,K00114.01,FALSE POSITIVE,0,1,1,0,7.361789580,132.2505300,5.02200,298.864350,42.151569,12660
10,10910878,K00757.01,CONFIRMED,0,0,0,0,16.068646740,173.6219370,3.53470,286.999480,48.375790,15841
11,11446443,K00001.01,CONFIRMED,0,0,0,0,2.470613377,122.7633050,1.74319,286.808470,49.316399,11338
12,10666592,K00002.01,CONFIRMED,0,1,0,0,2.204735417,121.3585417,3.88864,292.247280,47.969521,10463
13,6922244,K00010.01,CONFIRMED,0,0,0,0,3.522498429,121.1194228,3.19843,281.288120,42.451080,13563
14,10984090,K00112.02,CONFIRMED,0,0,0,0,3.709214104,133.9831800,2.63020,295.648710,48.495560,12772
15,10419211,K00742.01,FALSE POSITIVE,0,1,0,0,11.521446064,170.8396880,3.63990,297.079930,47.597401,15472
16,10464078,K00743.01,FALSE POSITIVE,0,1,0,0,19.403937760,172.4842530,12.21550,289.258210,47.635319,15487
17,10480982,K00744.01,FALSE POSITIVE,0,1,0,0,19.221388942,184.5521637,4.79843,295.814540,47.690350,15341
18,10485250,K00745.01,FALSE POSITIVE,0,1,0,0,16.469837740,180.8817610,9.43780,297.154420,47.668701,15788
19,10526549,K00746.01,CONFIRMED,0,0,0,0,9.273581730,173.2581550,3.28750,288.138240,47.724449,15302
20,10583066,K00747.01,CONFIRMED,0,0,0,0,6.029303290,171.6029590,1.58210,283.710880,47.863270,15784
21,10583180,K00748.01,FALSE POSITIVE,0,1,1,1,2.696370652,170.7376900,3.61290,283.765470,47.804298,15269
22,10601284,K00749.01,CONFIRMED,0,0,0,0,5.349553819,171.8069400,3.02780,292.376130,47.880989,15416
23,10601284,K00749.02,CONFIRMED,0,0,0,0,3.941052210,136.0866200,2.59840,292.376130,47.880989,15416
24,10601284,K00749.03,CONFIRMED,0,0,0,0,8.109048070,132.8031000,3.59600,292.376130,47.880989,15416
25,2306756,K00113.01,FALSE POSITIVE,0,1,0,0,386.603052800,166.3420790,6.80570,292.273740,37.671558,12394
26,10662202,K00750.01,CONFIRMED,0,0,0,0,21.676991930,171.5359400,3.45550,290.465120,47.929180,15377
